# angle I
-8.754652124446791106e+01 6.107500000000000000e+02
-8.719654980623292317e+01 1.053937500000000000e+03
-8.683539946373248597e+01 1.357705882352941217e+03
-8.646589270816332373e+01 1.581823529411764639e+03
-8.609631673959441400e+01 1.699705882352941217e+03
-8.572669705626906023e+01 1.776352941176470495e+03
-8.536637750593260421e+01 1.895687500000000000e+03
-8.502018487171564232e+01 1.834000000000000000e+03
-8.466969763801341742e+01 2.052375000000000000e+03
-8.433298562829912726e+01 2.116705882352940989e+03
-8.397517091127048161e+01 2.168833333333333485e+03
-8.361434234434295831e+01 2.382687500000000000e+03
-8.326607584953563901e+01 2.408125000000000000e+03
-8.290822045908785753e+01 2.334000000000000000e+03
-8.256094363858535701e+01 2.254733333333333121e+03
-8.222545383659355878e+01 2.271437500000000000e+03
-8.187877332057486512e+01 2.230058823529411711e+03
-8.152105618366013573e+01 2.244611111111111313e+03
-8.116606705071296801e+01 2.204058823529411711e+03
-8.081107421409767255e+01 2.301937500000000000e+03
-8.045350404883059525e+01 2.213235294117646845e+03
-8.008882058051904096e+01 2.372764705882353155e+03
-7.972822444829769495e+01 2.274117647058823422e+03
-7.937439308418619532e+01 2.166833333333333485e+03
-7.902501736267767285e+01 2.351187500000000000e+03
-7.866998805738397493e+01 2.246588235294117567e+03
-7.830740774206556409e+01 2.389941176470588289e+03
-7.794388718365480884e+01 2.467470588235294144e+03
-7.759192843210504975e+01 2.249764705882353155e+03
-7.723874214138137972e+01 2.367250000000000000e+03
-7.688679255460537831e+01 2.422882352941176578e+03
-7.652605617568150365e+01 2.282294117647059011e+03
-7.617561003842214973e+01 2.352937500000000000e+03
-7.583657836964684407e+01 2.317625000000000000e+03
-7.548584628764038484e+01 2.186764705882353155e+03
-7.512734507451129673e+01 2.321941176470588289e+03
-7.476849805532499715e+01 2.467294117647059011e+03
-7.440233842846397749e+01 2.293470588235294144e+03
-7.405489406685747156e+01 2.387375000000000000e+03
-7.370788122929599240e+01 2.376117647058823422e+03
-7.334669385894829929e+01 2.351687500000000000e+03
-7.299115277943971591e+01 2.351611111111111313e+03
-7.263481133505072762e+01 2.441375000000000000e+03
-7.227357098105133559e+01 2.679294117647059011e+03
-7.191601891996008078e+01 2.339941176470588289e+03
-7.157191663680728766e+01 2.469875000000000000e+03
-7.123304241232068534e+01 2.560533333333333303e+03
-7.087782041438271108e+01 2.279555555555555657e+03
-7.051813263509309593e+01 2.470647058823529278e+03
-7.015935381037103014e+01 2.599375000000000000e+03
-6.980240141578494217e+01 2.302235294117646845e+03
-6.944367431428300108e+01 2.375222222222222172e+03
-6.908600758053113111e+01 2.564666666666666515e+03
-6.873866207375860427e+01 2.494176470588235134e+03
-6.840157147713199493e+01 2.324750000000000000e+03
-6.803589666022060101e+01 2.415777777777777828e+03
-6.767214703188048475e+01 2.193764705882353155e+03
-6.732150736996732121e+01 2.454125000000000000e+03
-6.696602297061517106e+01 2.358235294117646845e+03
-6.660357212856628450e+01 2.215562500000000000e+03
-6.626195751094286379e+01 2.489062500000000000e+03
-6.590958458738025172e+01 2.318235294117646845e+03
-6.554462630422271729e+01 2.201611111111111313e+03
-6.518333605810005338e+01 2.548625000000000000e+03
-6.483482922477291766e+01 2.532764705882353155e+03
-6.447878197598760153e+01 2.110000000000000000e+03
-6.413621252578040810e+01 2.220533333333333303e+03
-6.382118788512903507e+01 2.229533333333333303e+03
-6.342760035281536801e+01 2.297000000000000000e+03
-6.303836075617765289e+01 2.261933333333333394e+03
-6.272978339202143871e+01 2.431785714285714221e+03
-6.237827262875153878e+01 2.221052631578947512e+03
-6.201445998709871787e+01 2.684125000000000000e+03
-6.165905302340574679e+01 2.166117647058823422e+03
-6.130898100986352262e+01 2.178176470588235134e+03
-6.093889260142156417e+01 2.476470588235294144e+03
-6.059047923637870525e+01 2.348000000000000000e+03
-6.023355464908956236e+01 2.473125000000000000e+03
-5.988572024135848437e+01 2.381375000000000000e+03
-5.953663514977896654e+01 2.221000000000000000e+03
-5.918151106924398164e+01 2.314058823529411711e+03
-5.881679659832923335e+01 2.343352941176470722e+03
-5.846474250612753565e+01 2.332176470588235134e+03
-5.811767042454251708e+01 2.502333333333333485e+03
-5.775829128833665038e+01 2.272388888888888687e+03
-5.740158310776777739e+01 2.256062500000000000e+03
-5.704412870355421461e+01 2.371111111111111313e+03
-5.670974894766039398e+01 2.279214285714285779e+03
-5.636113799193925189e+01 2.189368421052631675e+03
-5.597920247523168058e+01 2.275235294117646845e+03
-5.562832391957682177e+01 2.009705882352941217e+03
-5.527740956220922897e+01 2.381437500000000000e+03
-5.492860123459479382e+01 2.297470588235294144e+03
-5.458167554737808302e+01 2.177187500000000000e+03
-5.422087726494484627e+01 2.350117647058823422e+03
-5.386173209072669010e+01 2.350647058823529278e+03
-5.348641437404793919e+01 2.274000000000000000e+03
-5.312584231303669213e+01 2.453125000000000000e+03
-5.278463784234666889e+01 2.289588235294117567e+03
-5.244223038635665546e+01 2.396875000000000000e+03
-5.208920210232281534e+01 2.288352941176470722e+03
-5.173943090965746450e+01 2.528437500000000000e+03
-5.138509194964115068e+01 2.286882352941176578e+03
-5.102195102587344167e+01 2.283764705882353155e+03
-5.066476111916448133e+01 2.331823529411764866e+03
-5.030952437540356215e+01 2.127166666666666515e+03
-4.995894854944197760e+01 2.213800000000000182e+03
-4.961910321542423219e+01 2.416176470588235134e+03
-4.924856778802785584e+01 2.064000000000000000e+03
