# angle I
-8.754652124446791106e+01 1.066062500000000000e+03
-8.719654980623292317e+01 1.430187500000000000e+03
-8.683539946373248597e+01 1.449470588235294144e+03
-8.646589270816332373e+01 1.447588235294117567e+03
-8.609631673959441400e+01 1.441411764705882433e+03
-8.572669705626906023e+01 1.440117647058823422e+03
-8.536637750593260421e+01 1.475625000000000000e+03
-8.502018487171564232e+01 1.400333333333333258e+03
-8.466969763801341742e+01 1.417812500000000000e+03
-8.433298562829912726e+01 1.417411764705882433e+03
-8.397517091127048161e+01 1.379166666666666742e+03
-8.361434234434295831e+01 1.429375000000000000e+03
-8.326607584953563901e+01 1.399500000000000000e+03
-8.290822045908785753e+01 1.361823529411764639e+03
-8.256094363858535701e+01 1.312666666666666742e+03
-8.222545383659355878e+01 1.313312500000000000e+03
-8.187877332057486512e+01 1.273882352941176578e+03
-8.152105618366013573e+01 1.251666666666666742e+03
-8.116606705071296801e+01 1.227529411764705856e+03
-8.081107421409767255e+01 1.248687500000000000e+03
-8.045350404883059525e+01 1.184294117647058783e+03
-8.008882058051904096e+01 1.208235294117647072e+03
-7.972822444829769495e+01 1.173176470588235361e+03
-7.937439308418619532e+01 1.124111111111111086e+03
-7.902501736267767285e+01 1.185687500000000000e+03
-7.866998805738397493e+01 1.133058823529411711e+03
-7.830740774206556409e+01 1.157764705882352928e+03
-7.794388718365480884e+01 1.166764705882352928e+03
-7.759192843210504975e+01 1.119411764705882433e+03
-7.723874214138137972e+01 1.145187500000000000e+03
-7.688679255460537831e+01 1.133882352941176578e+03
-7.652605617568150365e+01 1.078000000000000000e+03
-7.617561003842214973e+01 1.110375000000000000e+03
-7.583657836964684407e+01 1.134312500000000000e+03
-7.548584628764038484e+01 1.095352941176470495e+03
-7.512734507451129673e+01 1.117176470588235361e+03
-7.476849805532499715e+01 1.116823529411764639e+03
-7.440233842846397749e+01 1.067941176470588289e+03
-7.405489406685747156e+01 1.090750000000000000e+03
-7.370788122929599240e+01 1.082352941176470495e+03
-7.334669385894829929e+01 1.097937500000000000e+03
-7.299115277943971591e+01 1.091111111111111086e+03
-7.263481133505072762e+01 1.095625000000000000e+03
-7.227357098105133559e+01 1.140529411764705856e+03
-7.191601891996008078e+01 1.045823529411764639e+03
-7.157191663680728766e+01 1.063062500000000000e+03
-7.123304241232068534e+01 1.091866666666666561e+03
-7.087782041438271108e+01 1.045944444444444343e+03
-7.051813263509309593e+01 1.099529411764705856e+03
-7.015935381037103014e+01 1.139125000000000000e+03
-6.980240141578494217e+01 1.057411764705882433e+03
-6.944367431428300108e+01 1.092611111111111086e+03
-6.908600758053113111e+01 1.120533333333333303e+03
-6.873866207375860427e+01 1.101647058823529505e+03
-6.840157147713199493e+01 1.093750000000000000e+03
-6.803589666022060101e+01 1.124833333333333258e+03
-6.767214703188048475e+01 1.053000000000000000e+03
-6.732150736996732121e+01 1.126562500000000000e+03
-6.696602297061517106e+01 1.107294117647058783e+03
-6.660357212856628450e+01 1.079562500000000000e+03
-6.626195751094286379e+01 1.127437500000000000e+03
-6.590958458738025172e+01 1.083823529411764639e+03
-6.554462630422271729e+01 1.048777777777777828e+03
-6.518333605810005338e+01 1.089812500000000000e+03
-6.483482922477291766e+01 1.087705882352941217e+03
-6.447878197598760153e+01 1.002882352941176464e+03
-6.413621252578040810e+01 1.055799999999999955e+03
-6.382118788512903507e+01 1.044266666666666652e+03
-6.342760035281536801e+01 1.041727272727272748e+03
-6.303836075617765289e+01 1.032066666666666606e+03
-6.272978339202143871e+01 1.071285714285714221e+03
-6.237827262875153878e+01 1.005000000000000000e+03
-6.201445998709871787e+01 1.108062500000000000e+03
-6.165905302340574679e+01 1.028705882352941217e+03
-6.130898100986352262e+01 1.031941176470588289e+03
-6.093889260142156417e+01 1.073411764705882433e+03
-6.059047923637870525e+01 1.026470588235294144e+03
-6.023355464908956236e+01 1.056625000000000000e+03
-5.988572024135848437e+01 1.079375000000000000e+03
