# angle I
-8.754652124446791106e+01 1.356250000000000000e+02
-8.719654980623292317e+01 1.898125000000000000e+02
-8.683539946373248597e+01 1.966470588235294201e+02
-8.646589270816332373e+01 1.988823529411764639e+02
-8.609631673959441400e+01 2.032941176470588118e+02
-8.572669705626906023e+01 2.115294117647058840e+02
-8.536637750593260421e+01 2.218750000000000000e+02
-8.502018487171564232e+01 2.124444444444444571e+02
-8.466969763801341742e+01 2.201250000000000000e+02
-8.433298562829912726e+01 2.148235294117646959e+02
-8.397517091127048161e+01 2.135555555555555429e+02
-8.361434234434295831e+01 2.214375000000000000e+02
-8.326607584953563901e+01 2.225625000000000000e+02
-8.290822045908785753e+01 2.248823529411764639e+02
-8.256094363858535701e+01 2.208000000000000114e+02
-8.222545383659355878e+01 2.205000000000000000e+02
-8.187877332057486512e+01 2.138823529411764639e+02
-8.152105618366013573e+01 2.200000000000000000e+02
-8.116606705071296801e+01 2.158823529411764639e+02
-8.081107421409767255e+01 2.255625000000000000e+02
-8.045350404883059525e+01 2.131176470588235361e+02
-8.008882058051904096e+01 2.239411764705882320e+02
-7.972822444829769495e+01 2.056470588235294201e+02
-7.937439308418619532e+01 1.984444444444444571e+02
-7.902501736267767285e+01 2.214375000000000000e+02
-7.866998805738397493e+01 2.153529411764705799e+02
-7.830740774206556409e+01 2.294117647058823479e+02
-7.794388718365480884e+01 2.312941176470588118e+02
-7.759192843210504975e+01 2.169411764705882320e+02
-7.723874214138137972e+01 2.262500000000000000e+02
-7.688679255460537831e+01 2.304117647058823479e+02
-7.652605617568150365e+01 2.137647058823529278e+02
-7.617561003842214973e+01 2.183750000000000000e+02
-7.583657836964684407e+01 2.145000000000000000e+02
-7.548584628764038484e+01 2.035294117647058840e+02
-7.512734507451129673e+01 2.150588235294117680e+02
-7.476849805532499715e+01 2.200000000000000000e+02
-7.440233842846397749e+01 2.035882352941176521e+02
-7.405489406685747156e+01 2.059375000000000000e+02
-7.370788122929599240e+01 2.117058823529411882e+02
