# angle I
-8.754652124446791106e+01 1.317500000000000000e+02
-8.719654980623292317e+01 1.768750000000000000e+02
-8.683539946373248597e+01 1.774705882352941160e+02
-8.646589270816332373e+01 1.758235294117646959e+02
-8.609631673959441400e+01 1.717058823529411882e+02
-8.572669705626906023e+01 1.668235294117646959e+02
-8.536637750593260421e+01 1.689375000000000000e+02
-8.502018487171564232e+01 1.606666666666666572e+02
-8.466969763801341742e+01 1.688125000000000000e+02
-8.433298562829912726e+01 1.737647058823529278e+02
-8.397517091127048161e+01 1.760555555555555429e+02
-8.361434234434295831e+01 1.944375000000000000e+02
-8.326607584953563901e+01 1.994375000000000000e+02
-8.290822045908785753e+01 1.970000000000000000e+02
-8.256094363858535701e+01 1.833333333333333428e+02
-8.222545383659355878e+01 1.880000000000000000e+02
-8.187877332057486512e+01 1.828235294117646959e+02
-8.152105618366013573e+01 1.770555555555555429e+02
-8.116606705071296801e+01 1.735882352941176521e+02
-8.081107421409767255e+01 1.796250000000000000e+02
-8.045350404883059525e+01 1.706470588235294201e+02
-8.008882058051904096e+01 1.819411764705882320e+02
-7.972822444829769495e+01 1.798235294117646959e+02
-7.937439308418619532e+01 1.720555555555555429e+02
-7.902501736267767285e+01 1.885000000000000000e+02
-7.866998805738397493e+01 1.832941176470588118e+02
-7.830740774206556409e+01 1.970000000000000000e+02
-7.794388718365480884e+01 2.062941176470588118e+02
-7.759192843210504975e+01 2.051764705882353041e+02
-7.723874214138137972e+01 2.168125000000000000e+02
-7.688679255460537831e+01 2.087647058823529278e+02
-7.652605617568150365e+01 1.828823529411764639e+02
-7.617561003842214973e+01 1.832500000000000000e+02
-7.583657836964684407e+01 1.883750000000000000e+02
-7.548584628764038484e+01 1.827647058823529278e+02
-7.512734507451129673e+01 1.887647058823529278e+02
-7.476849805532499715e+01 1.828823529411764639e+02
-7.440233842846397749e+01 1.688823529411764639e+02
-7.405489406685747156e+01 1.761250000000000000e+02
-7.370788122929599240e+01 1.783529411764705799e+02
-7.334669385894829929e+01 1.772500000000000000e+02
-7.299115277943971591e+01 1.721111111111111143e+02
-7.263481133505072762e+01 1.757500000000000000e+02
-7.227357098105133559e+01 1.967647058823529278e+02
-7.191601891996008078e+01 1.777058823529411882e+02
-7.157191663680728766e+01 1.840625000000000000e+02
-7.123304241232068534e+01 1.890000000000000000e+02
-7.087782041438271108e+01 1.707222222222222285e+02
-7.051813263509309593e+01 1.796470588235294201e+02
-7.015935381037103014e+01 1.853750000000000000e+02
-6.980240141578494217e+01 1.688235294117646959e+02
-6.944367431428300108e+01 1.828888888888888857e+02
-6.908600758053113111e+01 1.888000000000000114e+02
-6.873866207375860427e+01 1.762941176470588118e+02
-6.840157147713199493e+01 1.684375000000000000e+02
-6.803589666022060101e+01 1.713333333333333428e+02
-6.767214703188048475e+01 1.575882352941176521e+02
-6.732150736996732121e+01 1.816875000000000000e+02
-6.696602297061517106e+01 1.848235294117646959e+02
-6.660357212856628450e+01 1.766250000000000000e+02
-6.626195751094286379e+01 1.881250000000000000e+02
-6.590958458738025172e+01 1.815882352941176521e+02
-6.554462630422271729e+01 1.751111111111111143e+02
-6.518333605810005338e+01 1.884375000000000000e+02
-6.483482922477291766e+01 1.877058823529411882e+02
-6.447878197598760153e+01 1.640000000000000000e+02
-6.413621252578040810e+01 1.778000000000000114e+02
-6.382118788512903507e+01 1.773333333333333428e+02
-6.342760035281536801e+01 1.812272727272727195e+02
-6.303836075617765289e+01 1.820666666666666629e+02
-6.272978339202143871e+01 1.947142857142857224e+02
-6.237827262875153878e+01 1.789473684210526301e+02
-6.201445998709871787e+01 2.090000000000000000e+02
-6.165905302340574679e+01 1.838235294117646959e+02
-6.130898100986352262e+01 1.782941176470588118e+02
-6.093889260142156417e+01 1.863529411764705799e+02
-6.059047923637870525e+01 1.695882352941176521e+02
-6.023355464908956236e+01 1.715625000000000000e+02
-5.988572024135848437e+01 1.700625000000000000e+02
-5.953663514977896654e+01 1.570588235294117680e+02
-5.918151106924398164e+01 1.632352941176470722e+02
-5.881679659832923335e+01 1.644705882352941160e+02
